"sno","user_query","intent"
504,"How can I improve my respiratory health?","Medical Advice"
505,"Tell me an interesting fact about space exploration!","Non-medical Queries"
506,"What are the symptoms of food poisoning?","Symptom Inquiry"
507,"How is high blood pressure managed?","Treatment Inquiry"
508,"Can you tell me about the dosage for a specific painkiller?","Medication Information"
509,"How can I improve my sleep quality?","Medical Advice"
510,"What's the latest technology innovation?","Non-medical Queries"
511,"What are the symptoms of an allergic reaction?","Symptom Inquiry"
512,"How can I manage diabetes during holidays?","Treatment Inquiry"
513,"Can you tell me about the side effects of allergy eye drops?","Medication Information"
514,"How can I cope with stress and anxiety?","Medical Advice"
515,"What's the weather forecast for this month?","Non-medical Queries"
516,"I have a sore throat and body ache. Should I see a doctor?","Symptom Inquiry"
517,"What are the treatment options for joint inflammation?","Treatment Inquiry"
518,"Are there any side effects of antihistamines?","Medication Information"
519,"Can you suggest exercises for better posture?","Medical Advice"
520,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
521,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
522,"How is diabetes managed?","Treatment Inquiry"
523,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
524,"How can I improve my cardiovascular health?","Medical Advice"
525,"What's the weather forecast for tomorrow?","Non-medical Queries"
526,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
527,"What are the treatment options for joint inflammation?","Treatment Inquiry"
528,"Are there any side effects of antihistamines?","Medication Information"
529,"Can you suggest exercises for better posture?","Medical Advice"
530,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
531,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
532,"How is diabetes managed?","Treatment Inquiry"
533,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
534,"How can I improve my cardiovascular health?","Medical Advice"
535,"What's the weather forecast for tomorrow?","Non-medical Queries"
536,"What are the symptoms of a common cold?","Symptom Inquiry"
537,"How can I treat a sprained ankle at home?","Treatment Inquiry"
538,"Are there any side effects of allergy nasal sprays?","Medication Information"
539,"What are some natural remedies for headaches?","Medical Advice"
540,"Tell me an interesting fact about famous scientists!","Non-medical Queries"
541,"What are the symptoms of a stomach ulcer?","Symptom Inquiry"
542,"What are the treatment options for depression in teenagers?","Treatment Inquiry"
543,"Can you tell me about the side effects of antibiotics?","Medication Information"
544,"How can I improve my digestive health?","Medical Advice"
545,"What's the latest fashion trend?","Non-medical Queries"
546,"Why am I experiencing chest pain?","Symptom Inquiry"
547,"What are the treatment options for acne?","Treatment Inquiry"
548,"Are there any side effects of pain relief creams?","Medication Information"
549,"How can I improve my sleep patterns?","Medical Advice"
550,"Tell me an interesting fact about famous landmarks!","Non-medical Queries"
551,"What are the symptoms of anemia?","Symptom Inquiry"
552,"How is hypertension managed?","Treatment Inquiry"
553,"Can you tell me about the dosage for a specific antacid?","Medication Information"
554,"How can I boost my immune system during flu season?","Medical Advice"
555,"What's the latest technology gadget?","Non-medical Queries"
556,"What are the symptoms of a sinus infection?","Symptom Inquiry"
557,"How can I manage diabetes through diet?","Treatment Inquiry"
558,"Can you tell me about the side effects of birth control patches?","Medication Information"
559,"How can I reduce stress and anxiety naturally?","Medical Advice"
560,"What's the weather forecast for tomorrow?","Non-medical Queries"
561,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
562,"What are the treatment options for arthritis?","Treatment Inquiry"
563,"Are there any side effects of antacids?","Medication Information"
564,"Can you suggest exercises for better flexibility?","Medical Advice"
565,"Tell me an interesting fact about famous artists!","Non-medical Queries"
566,"What are the symptoms of a sinus infection?","Symptom Inquiry"
567,"How is asthma managed?","Treatment Inquiry"
568,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
569,"How can I improve my cardiovascular fitness?","Medical Advice"
570,"What's the weather forecast for this weekend?","Non-medical Queries"
571,"I have a sore throat and cough. What should I do?","Symptom Inquiry"
572,"What are the treatment options for joint pain?","Treatment Inquiry"
573,"Are there any side effects of antihistamines?","Medication Information"
574,"Can you suggest exercises for better posture?","Medical Advice"
575,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
576,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
577,"How is diabetes managed?","Treatment Inquiry"
578,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
579,"How can I improve my cardiovascular health?","Medical Advice"
580,"What's the weather forecast for tomorrow?","Non-medical Queries"
581,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
582,"What are the treatment options for joint inflammation?","Treatment Inquiry"
583,"Are there any side effects of antihistamines?","Medication Information"
584,"Can you suggest exercises for better posture?","Medical Advice"
585,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
586,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
587,"How is diabetes managed?","Treatment Inquiry"
588,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
589,"How can I improve my cardiovascular health?","Medical Advice"
590,"What's the weather forecast for tomorrow?","Non-medical Queries"
591,"I have a sore throat and body ache. Should I see a doctor?","Symptom Inquiry"
592,"What are the treatment options for joint inflammation?","Treatment Inquiry"
593,"Are there any side effects of antihistamines?","Medication Information"
594,"Can you suggest exercises for better posture?","Medical Advice"
595,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
596,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
597,"How is diabetes managed?","Treatment Inquiry"
598,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
599,"How can I improve my cardiovascular health?","Medical Advice"
600,"What's the weather forecast for tomorrow?","Non-medical Queries"
